id,session,target,fb_2_target
4,1,6,5
4,1,9,3
4,1,6,5
4,1,6,5
4,1,6,1
4,1,9,3
4,1,9,3
4,1,9,3
4,1,6,6
4,1,9,-3
4,1,6,2
4,1,9,1
4,1,6,1
4,1,9,-2
4,1,6,6
4,1,9,1
4,1,6,2
4,1,9,-3
4,1,6,0
4,1,9,-1
4,1,6,-2
4,1,6,6
4,1,9,3
4,1,6,4
4,1,6,5
4,1,9,2
4,1,9,-3
4,1,9,1
4,1,6,5
4,1,6,-6
4,1,6,1
4,1,9,0
4,1,9,0
4,1,9,-5
4,1,9,-2
4,1,6,5
4,1,6,5
4,1,6,4
4,1,6,6
4,1,9,1
4,1,9,3
4,1,9,-2
4,1,6,6
4,2,6,0
4,2,6,3
4,2,9,0
4,2,6,0
4,2,9,1
4,2,6,4
4,2,6,2
4,2,9,3
4,2,9,1
4,2,9,-5
4,2,6,2
4,2,9,-3
4,2,6,0
4,2,9,-1
4,2,6,0
4,2,9,1
4,2,9,-1
4,2,6,-6
4,2,9,2
4,2,6,2
4,2,6,5
4,2,6,2
4,2,9,3
4,2,9,2
4,2,9,1
4,2,6,3
4,2,9,3
4,2,6,3
4,2,9,-3
4,2,6,3
4,2,9,-3
4,2,6,2
4,2,9,3
4,2,6,3
4,2,9,3
4,2,6,3
4,2,9,-3
4,2,6,0
4,2,6,-5
4,2,9,-1
4,2,6,-1
4,2,6,0
4,2,9,2
4,2,9,0
4,2,9,0
4,2,6,6
4,2,6,3
4,2,6,0
4,2,9,1
4,2,9,-1
4,2,9,0
4,2,9,3
4,2,6,0
4,2,6,3
4,2,6,3
4,2,6,-1
4,2,9,1
4,2,9,0
4,2,9,1
4,2,6,0
4,3,6,-4
4,3,6,5
4,3,9,3
4,3,6,2
4,3,9,3
4,3,6,0
4,3,6,6
4,3,9,0
4,3,9,2
4,3,9,3
4,3,6,-3
4,3,9,3
4,3,6,2
4,3,9,0
4,3,6,1
4,3,9,-2
4,3,9,3
4,3,6,3
4,3,9,2
4,3,6,2
4,3,6,1
4,3,6,4
4,3,9,3
4,3,9,2
4,3,9,2
4,3,6,6
4,3,9,3
4,3,6,-2
4,3,9,3
4,3,6,6
4,3,9,-4
4,3,6,3
4,3,9,0
4,3,6,1
4,3,9,0
4,3,6,2
4,3,9,0
4,3,6,2
4,3,6,6
4,3,9,0
4,3,6,1
4,3,6,5
4,3,9,0
4,3,9,2
4,3,9,-2
4,3,6,6
4,3,6,3
4,3,6,3
4,3,9,2
4,3,9,0
4,3,9,1
4,3,9,1
4,3,6,3
4,3,6,1
4,3,6,5
4,3,6,1
4,3,9,-2
4,3,9,0
4,3,9,0
4,3,6,1
5,1,6,3
5,1,6,0
5,1,9,3
5,1,6,3
5,1,9,-3
5,1,6,1
5,1,6,-6
5,1,9,-3
5,1,9,3
5,1,9,1
5,1,6,-2
5,1,9,-3
5,1,6,6
5,1,9,0
5,1,6,3
5,1,9,-2
5,1,9,-3
5,1,6,3
5,1,9,3
5,1,6,0
5,1,6,6
5,1,6,-3
5,1,9,-2
5,1,9,0
5,1,9,3
5,1,6,1
5,1,9,3
5,1,6,1
5,1,9,1
5,1,6,1
5,1,9,-2
5,1,6,1
5,1,9,-9
5,1,6,1
5,1,9,-3
5,1,6,6
5,1,9,-3
5,1,6,-6
5,1,6,4
5,1,9,-2
5,1,6,2
5,1,6,1
5,1,9,-2
5,1,9,3
5,1,9,2
5,1,6,4
5,1,6,-3
5,1,6,5
5,1,9,-3
5,1,9,-9
5,1,9,-6
5,1,9,-1
5,1,6,2
5,1,6,1
5,1,6,2
5,1,6,1
5,1,9,-1
5,1,9,-1
5,1,9,1
5,1,6,-6
5,2,6,-2
5,2,6,2
5,2,9,-1
5,2,6,0
5,2,9,1
5,2,6,1
5,2,6,-2
5,2,9,-2
5,2,9,-3
5,2,9,0
5,2,6,-2
5,2,9,0
5,2,6,-1
5,2,9,2
5,2,6,0
5,2,9,1
5,2,9,-2
5,2,6,0
5,2,9,-2
5,2,6,1
5,2,6,0
5,2,6,-1
5,2,9,-1
5,2,9,-5
5,2,9,-3
5,2,6,3
5,2,9,-6
5,2,6,-2
5,2,9,1
5,2,6,2
5,2,9,-2
5,2,6,-2
5,2,9,-2
5,2,6,1
5,2,9,2
5,2,6,1
5,2,9,-4
5,2,6,0
5,2,6,-1
5,2,9,0
5,2,6,2
5,2,6,-4
5,2,9,0
5,2,9,-5
5,2,9,-3
5,2,6,-1
5,2,6,3
5,2,6,0
5,2,9,1
5,2,9,2
5,2,9,-2
5,2,9,-5
5,2,6,-2
5,2,6,-2
5,2,6,-1
5,2,6,-2
5,2,9,-5
5,2,9,2
5,2,9,-2
5,2,6,2
5,3,6,-1
5,3,6,2
5,3,9,-1
5,3,6,-1
5,3,9,1
5,3,6,-5
5,3,6,-1
5,3,9,-3
5,3,9,0
5,3,9,0
5,3,6,-2
5,3,9,-3
5,3,6,-1
5,3,9,-1
5,3,6,-2
5,3,9,-5
5,3,9,-1
5,3,6,-2
5,3,9,-4
5,3,6,-4
5,3,6,-2
5,3,6,0
5,3,9,-3
5,3,9,1
5,3,9,-3
5,3,6,1
5,3,9,-4
5,3,6,0
5,3,9,-2
5,3,6,2
5,3,9,-2
5,3,6,1
5,3,9,-2
5,3,6,-2
5,3,9,2
5,3,6,-1
5,3,9,-4
5,3,6,-3
5,3,6,-4
5,3,9,0
5,3,6,-1
5,3,6,-2
5,3,9,-5
5,3,9,-5
5,3,9,-6
5,3,6,-2
5,3,6,-2
5,3,6,3
5,3,9,-2
5,3,9,-2
5,3,9,-4
5,3,9,-3
5,3,6,6
5,3,6,-2
5,3,6,-1
5,3,6,-2
5,3,9,-3
5,3,9,0
5,3,9,0
5,3,6,-3
6,1,6,3
6,1,6,5
6,1,9,3
6,1,6,2
6,1,9,1
6,1,6,3
6,1,6,6
6,1,9,3
6,1,9,-2
6,1,9,-3
6,1,6,3
6,1,9,-2
6,1,6,2
6,1,9,3
6,1,6,2
6,1,9,3
6,1,9,2
6,1,6,1
6,1,9,3
6,1,6,0
6,1,6,-1
6,1,6,1
6,1,9,2
6,1,9,-1
6,1,9,-1
6,1,6,4
6,1,9,3
6,1,6,0
6,1,9,2
6,1,6,6
6,1,9,1
6,1,6,6
6,1,9,1
6,1,6,-1
6,1,9,0
6,1,6,5
6,1,9,-5
6,1,6,6
6,1,6,5
6,1,9,-2
6,1,6,6
6,1,6,-5
6,1,9,-3
6,1,9,-4
6,1,9,0
6,1,6,3
6,1,6,-1
6,1,6,6
6,1,9,-9
6,1,9,0
6,1,9,-4
6,1,9,-1
6,1,6,0
6,1,6,3
6,1,6,-2
6,1,6,-1
6,1,9,-3
6,1,9,0
6,1,9,3
6,1,6,4
6,2,6,1
6,2,6,2
6,2,9,-1
6,2,6,6
6,2,9,-1
6,2,6,0
6,2,6,2
6,2,9,1
6,2,9,1
6,2,9,0
6,2,6,5
6,2,9,-1
6,2,6,2
6,2,9,-3
6,2,6,0
6,2,9,1
6,2,9,1
6,2,6,4
6,2,9,2
6,2,6,6
6,2,6,-2
6,2,6,1
6,2,9,2
6,2,9,-6
6,2,9,-1
6,2,6,1
6,2,9,0
6,2,6,2
6,2,9,-2
6,2,6,2
6,2,9,0
6,2,6,0
6,2,9,1
6,2,6,1
6,2,9,1
6,2,6,6
6,2,9,-1
6,2,6,3
6,2,6,3
6,2,9,1
6,2,6,0
6,2,6,1
6,2,9,2
6,2,9,3
6,2,9,1
6,2,6,0
6,2,6,-2
6,2,6,0
6,2,9,-5
6,2,9,3
6,2,9,-3
6,2,9,1
6,2,6,0
6,2,6,0
6,2,6,-1
6,2,6,0
6,2,9,-1
6,2,9,-4
6,2,9,-4
6,2,6,2
6,3,6,1
6,3,6,2
6,3,9,-2
6,3,6,1
6,3,9,-1
6,3,6,1
6,3,6,1
6,3,9,-1
6,3,9,3
6,3,9,-1
6,3,6,-1
6,3,9,3
6,3,6,1
6,3,9,0
6,3,6,1
6,3,9,3
6,3,9,3
6,3,6,2
6,3,9,-4
6,3,6,1
6,3,6,-3
6,3,6,2
6,3,9,1
6,3,9,-2
6,3,9,1
6,3,6,1
6,3,9,3
6,3,6,1
6,3,9,0
6,3,6,0
6,3,9,-1
6,3,6,4
6,3,9,-1
6,3,6,0
6,3,9,2
6,3,6,2
6,3,9,3
6,3,6,3
6,3,6,2
6,3,9,-1
6,3,6,-2
6,3,6,1
6,3,9,0
6,3,9,3
6,3,9,0
6,3,6,2
6,3,6,2
6,3,6,1
6,3,9,-4
6,3,9,3
6,3,9,1
6,3,9,1
6,3,6,-2
6,3,6,2
6,3,6,3
6,3,6,1
6,3,9,-2
6,3,9,2
6,3,9,-2
6,3,6,1
7,1,6,3
7,1,6,5
7,1,9,3
7,1,6,6
7,1,9,-5
7,1,6,3
7,1,6,1
7,1,9,2
7,1,9,-3
7,1,9,3
7,1,6,-2
7,1,9,0
7,1,6,-4
7,1,9,2
7,1,6,6
7,1,9,3
7,1,9,-3
7,1,6,-4
7,1,9,-5
7,1,6,-4
7,1,6,-1
7,1,6,5
7,1,9,3
7,1,9,-2
7,1,9,3
7,1,6,3
7,1,9,-3
7,1,6,0
7,1,9,-3
7,1,6,-4
7,1,9,-3
7,1,6,3
7,1,9,-7
7,1,6,1
7,1,9,-2
7,1,6,6
7,1,9,3
7,1,6,-6
7,1,6,6
7,1,9,-2
7,1,6,-2
7,1,6,3
7,1,9,3
7,1,9,-2
7,1,9,3
7,1,6,3
7,1,6,0
7,1,6,0
7,1,9,2
7,1,9,-9
7,1,9,-3
7,1,9,3
7,1,6,-2
7,1,6,1
7,1,6,-2
7,1,6,0
7,1,9,2
7,1,9,-2
7,1,9,-2
7,1,6,5
7,2,6,-1
7,2,6,6
7,2,9,3
7,2,6,6
7,2,9,-1
7,2,6,2
7,2,6,1
7,2,9,3
7,2,9,-1
7,2,9,3
7,2,6,2
7,2,9,-4
7,2,6,-4
7,2,9,3
7,2,6,-6
7,2,9,-1
7,2,9,3
7,2,6,4
7,2,9,-4
7,2,6,-1
7,2,6,1
7,2,6,2
7,2,9,-6
7,2,9,-1
7,2,9,3
7,2,6,4
7,2,9,1
7,2,6,6
7,2,9,3
7,2,6,1
7,2,9,-6
7,2,6,4
7,2,9,3
7,2,6,6
7,2,9,3
7,2,6,4
7,2,9,3
7,2,6,4
7,2,6,1
7,2,9,3
7,2,6,1
7,2,6,3
7,2,9,1
7,2,9,3
7,2,9,-4
7,2,6,4
7,2,6,-3
7,2,6,-3
7,2,9,-1
7,2,9,3
7,2,9,0
7,2,9,1
7,2,6,3
7,2,6,1
7,2,6,3
7,2,6,-1
7,2,9,0
7,2,9,3
7,2,9,-2
7,2,6,-6
7,3,6,-1
7,3,6,-1
7,3,9,-2
7,3,6,-1
7,3,9,-3
7,3,6,-1
7,3,6,0
7,3,9,-2
7,3,9,-4
7,3,9,0
7,3,6,0
7,3,9,-2
7,3,6,-1
7,3,9,-1
7,3,6,2
7,3,9,-1
7,3,9,-2
7,3,6,0
7,3,9,-2
7,3,6,2
7,3,6,-2
7,3,6,3
7,3,9,1
7,3,9,-2
7,3,9,-2
7,3,6,-1
7,3,9,-4
7,3,6,-1
7,3,9,-2
7,3,6,-1
7,3,9,-3
7,3,6,-1
7,3,9,-4
7,3,6,-1
7,3,9,-4
7,3,6,1
7,3,9,0
7,3,6,-1
7,3,6,0
7,3,9,-4
7,3,6,-1
7,3,6,3
7,3,9,-6
7,3,9,-2
7,3,9,-4
7,3,6,1
7,3,6,-1
7,3,6,-2
7,3,9,-3
7,3,9,-4
7,3,9,-6
7,3,9,-3
7,3,6,0
7,3,6,1
7,3,6,0
7,3,6,-1
7,3,9,1
7,3,9,-2
7,3,9,-1
7,3,6,0
8,1,6,1
8,1,6,4
8,1,9,-3
8,1,6,0
8,1,9,1
8,1,6,2
8,1,6,1
8,1,9,2
8,1,9,-1
8,1,9,3
8,1,6,2
8,1,9,1
8,1,6,5
8,1,9,-6
8,1,6,0
8,1,9,2
8,1,9,3
8,1,6,2
8,1,9,1
8,1,6,5
8,1,6,-2
8,1,6,2
8,1,9,1
8,1,9,-1
8,1,9,-8
8,1,6,2
8,1,9,-1
8,1,6,5
8,1,9,2
8,1,6,6
8,1,9,-5
8,1,6,5
8,1,9,3
8,1,6,4
8,1,9,-1
8,1,6,4
8,1,9,3
8,1,6,4
8,1,6,0
8,1,9,-2
8,1,6,1
8,1,6,0
8,1,9,-8
8,1,9,1
8,1,9,-3
8,1,6,4
8,1,6,4
8,1,6,1
8,1,9,-2
8,1,9,3
8,1,9,-5
8,1,9,-2
8,1,6,-2
8,1,6,1
8,1,6,4
8,1,6,4
8,1,9,2
8,1,9,1
8,1,9,3
8,1,6,2
8,2,6,1
8,2,6,-2
8,2,9,-4
8,2,6,-2
8,2,9,-2
8,2,6,6
8,2,6,4
8,2,9,-3
8,2,9,1
8,2,9,1
8,2,6,-2
8,2,9,0
8,2,6,0
8,2,9,-3
8,2,6,6
8,2,9,0
8,2,9,2
8,2,6,3
8,2,9,3
8,2,6,-2
8,2,6,1
8,2,6,-2
8,2,9,2
8,2,9,-2
8,2,9,0
8,2,6,3
8,2,9,-2
8,2,6,3
8,2,9,-4
8,2,6,-5
8,2,9,-3
8,2,6,2
8,2,9,1
8,2,6,3
8,2,9,-3
8,2,6,5
8,2,9,1
8,2,6,0
8,2,6,1
8,2,9,-3
8,2,6,0
8,2,6,0
8,2,9,2
8,2,9,-1
8,2,9,-2
8,2,6,2
8,2,6,2
8,2,6,5
8,2,9,-2
8,2,9,1
8,2,9,2
8,2,9,1
8,2,6,4
8,2,6,4
8,2,6,6
8,2,6,6
8,2,9,1
8,2,9,2
8,2,9,2
8,2,6,2
8,3,6,-1
8,3,6,-1
8,3,9,-2
8,3,6,0
8,3,9,-2
8,3,6,3
8,3,6,-2
8,3,9,0
8,3,9,-2
8,3,9,-1
8,3,6,0
8,3,9,1
8,3,6,-1
8,3,9,2
8,3,6,2
8,3,9,-2
8,3,9,-1
8,3,6,2
8,3,9,2
8,3,6,-1
8,3,6,1
8,3,6,0
8,3,9,0
8,3,9,0
8,3,9,-5
8,3,6,2
8,3,9,-1
8,3,6,2
8,3,9,3
8,3,6,3
8,3,9,-1
8,3,6,3
8,3,9,-1
8,3,6,1
8,3,9,1
8,3,6,1
8,3,9,-1
8,3,6,-2
8,3,6,2
8,3,9,-1
8,3,6,0
8,3,6,1
8,3,9,-1
8,3,9,1
8,3,9,2
8,3,6,2
8,3,6,2
8,3,6,2
8,3,9,0
8,3,9,1
8,3,9,-1
8,3,9,-2
8,3,6,5
8,3,6,1
8,3,6,0
8,3,6,0
8,3,9,0
8,3,9,-1
8,3,9,1
8,3,6,-1
9,1,6,4
9,1,6,1
9,1,9,1
9,1,6,1
9,1,9,-2
9,1,6,4
9,1,6,1
9,1,9,-1
9,1,9,1
9,1,9,1
9,1,6,-3
9,1,9,1
9,1,6,0
9,1,9,1
9,1,6,0
9,1,9,-2
9,1,9,-2
9,1,6,4
9,1,9,-3
9,1,6,3
9,1,6,1
9,1,6,-6
9,1,9,0
9,1,9,-6
9,1,9,-8
9,1,6,-3
9,1,9,-3
9,1,6,-6
9,1,9,-9
9,1,6,-6
9,1,9,1
9,1,6,4
9,1,9,-1
9,1,6,1
9,1,9,-1
9,1,6,4
9,1,9,2
9,1,6,1
9,1,6,2
9,1,9,3
9,1,6,0
9,1,6,1
9,1,9,-5
9,1,9,1
9,1,9,-2
9,1,6,-5
9,1,6,-2
9,1,6,4
9,1,9,1
9,1,9,-3
9,2,6,-2
9,2,6,2
9,2,9,1
9,2,6,6
9,2,9,-3
9,2,6,4
9,2,6,-5
9,2,9,-4
9,2,9,-1
9,2,9,3
9,2,6,1
9,2,9,1
9,2,6,2
9,2,9,3
9,2,6,-4
9,2,9,2
9,2,9,-5
9,2,6,1
9,2,9,1
9,2,6,0
9,2,6,4
9,2,6,-5
9,2,9,-1
9,2,9,-2
9,2,9,1
9,2,6,1
9,2,9,-3
9,2,6,2
9,2,9,-4
9,2,6,6
9,2,9,-1
9,2,6,0
9,2,9,-1
9,2,6,-5
9,2,9,-4
9,2,6,5
9,2,9,-7
9,2,6,2
9,2,6,6
9,2,9,-7
9,2,6,1
9,2,6,1
9,2,9,-3
9,2,9,-3
9,2,9,-2
9,2,6,1
9,2,6,2
9,2,6,-2
9,2,9,3
9,2,9,-2
9,2,9,1
9,2,9,-2
9,2,6,1
9,2,6,1
9,2,6,2
9,2,6,5
9,2,9,-8
9,2,9,-2
9,2,9,-4
9,2,6,-6
9,3,6,2
9,3,6,2
9,3,9,-2
9,3,6,4
9,3,9,-1
9,3,6,1
9,3,6,3
9,3,9,-4
9,3,9,0
9,3,9,-1
9,3,6,3
9,3,9,1
9,3,6,1
9,3,9,-1
9,3,6,1
9,3,9,-3
9,3,9,-1
9,3,6,0
9,3,9,-3
9,3,6,2
9,3,6,0
9,3,6,-1
9,3,9,-1
9,3,9,-3
9,3,9,-2
9,3,6,-1
9,3,9,-2
9,3,6,0
9,3,9,-1
9,3,6,-1
9,3,9,-3
9,3,6,1
9,3,9,0
9,3,6,2
9,3,9,-2
9,3,6,-2
9,3,9,-1
9,3,6,0
9,3,6,1
9,3,9,-3
9,3,6,2
9,3,6,1
9,3,9,-1
9,3,9,-1
9,3,9,-9
9,3,6,-1
9,3,6,-3
9,3,6,0
9,3,9,0
9,3,9,-2
9,3,9,1
9,3,9,-1
9,3,6,-1
9,3,6,1
9,3,6,-2
9,3,6,3
9,3,9,-2
9,3,9,-2
9,3,9,-3
9,3,6,-1
11,1,6,4
11,1,6,4
11,1,9,0
11,1,6,1
11,1,9,3
11,1,6,6
11,1,6,4
11,1,9,3
11,1,9,3
11,1,9,-2
11,1,6,4
11,1,9,1
11,1,6,2
11,1,9,1
11,1,6,2
11,1,9,-1
11,1,9,2
11,1,6,-6
11,1,9,0
11,1,6,6
11,1,6,3
11,1,6,5
11,1,9,0
11,1,9,-4
11,1,9,0
11,1,6,0
11,1,9,3
11,1,6,6
11,1,9,3
11,1,6,6
11,1,9,0
11,1,6,2
11,1,9,2
11,1,6,0
11,1,9,1
11,1,6,5
11,1,9,3
11,1,6,6
11,1,6,5
11,1,9,1
11,1,6,0
11,1,6,5
11,1,9,1
11,1,9,-3
11,1,9,3
11,1,6,4
11,1,6,5
11,1,6,0
11,1,9,-3
11,1,9,0
11,1,9,-2
11,1,9,1
11,1,6,5
11,1,6,5
11,1,6,3
11,1,6,-1
11,1,9,-2
11,1,9,3
11,1,9,-5
11,1,6,5
11,2,6,2
11,2,6,2
11,2,9,3
11,2,6,5
11,2,9,-1
11,2,6,6
11,2,6,4
11,2,9,3
11,2,9,-6
11,2,9,3
11,2,6,6
11,2,9,3
11,2,6,6
11,2,9,1
11,2,6,2
11,2,9,3
11,2,9,1
11,2,6,1
11,2,9,0
11,2,6,4
11,2,6,6
11,2,6,1
11,2,9,-6
11,2,9,0
11,2,9,2
11,2,6,1
11,2,9,3
11,2,6,2
11,2,9,-3
11,2,6,3
11,2,9,3
11,2,6,5
11,2,9,-3
11,2,6,1
11,2,9,-3
11,2,6,6
11,2,9,-2
11,2,6,0
11,2,6,-3
11,2,9,-4
11,2,6,6
11,2,6,-4
11,2,9,0
11,2,9,-1
11,2,9,-9
11,2,6,0
11,2,6,2
11,2,6,0
11,2,9,-2
11,2,9,-7
11,2,9,-7
11,2,9,-1
11,2,6,0
11,2,6,-3
11,2,6,5
11,2,6,-5
11,2,9,-1
11,2,9,0
11,2,9,0
11,2,6,6
11,3,6,1
11,3,6,-2
11,3,9,-7
11,3,6,-1
11,3,9,-2
11,3,6,1
11,3,6,-3
11,3,9,-8
11,3,9,-6
11,3,9,-4
11,3,6,2
11,3,9,-3
11,3,6,2
11,3,9,-6
11,3,6,-2
11,3,9,-9
11,3,9,-6
11,3,6,-6
11,3,9,-9
11,3,6,-6
11,3,6,-2
11,3,6,-3
11,3,9,-5
11,3,9,-6
11,3,9,-4
11,3,6,4
11,3,9,-1
11,3,6,2
11,3,9,-1
11,3,6,1
11,3,9,-2
11,3,6,3
11,3,9,-4
11,3,6,0
11,3,9,-2
11,3,6,4
11,3,9,-5
11,3,6,-1
11,3,6,1
11,3,9,-4
11,3,6,4
11,3,6,1
11,3,9,-8
11,3,9,-4
11,3,9,-4
11,3,6,-1
11,3,6,-2
11,3,6,2
11,3,9,-4
11,3,9,-1
11,3,9,-4
11,3,9,-6
11,3,6,2
11,3,6,2
11,3,6,1
11,3,6,-2
11,3,9,-2
11,3,9,-1
11,3,9,-3
11,3,6,-1
