"","id","trial","cond_lag","count_lag","graph_order","pooled_order","hr","rating"
"142",2,144,"CS",1,4,4,-1.54554166666667,55
"143",2,145,"CS",2,3,3,4.067875,80
"144",2,146,"CS-US",1,5,1,8.02320833333333,90
"145",2,147,"CS-US",2,6,2,6.67120833333334,35
"146",2,148,"CS",1,4,4,-9.86408333333333,50
"147",2,149,"CS-US",1,5,1,11.7326666666667,40
"148",2,150,"CS-US",2,6,2,10.3047083333333,50
"149",2,151,"CS",1,4,4,-1.09433333333334,10
"150",2,152,"CS",2,3,3,7.36270833333333,65
"151",2,153,"CS",3,2,2,3.96945833333334,100
"152",2,154,"CS-US",1,5,1,0.469416666666671,80
"153",2,155,"CS-US",2,6,2,3.721,30
"154",3,2,"CS",1,4,4,-5.52491666666667,100
"155",3,3,"CS",2,3,3,-4.32345833333334,82
"156",3,4,"CS-US",1,5,1,-1.09354166666667,100
"157",3,5,"CS",1,4,4,-0.80549999999999,92
"158",3,6,"CS",2,3,3,-3.71975,23
"159",3,7,"CS-US",1,5,1,-4.15279166666666,100
"160",3,8,"CS",1,4,4,-3.13820833333334,68
"161",3,9,"CS-US",1,5,1,0.175250000000002,90
"162",3,10,"CS",1,4,4,0.391166666666669,73
"163",3,11,"CS",2,3,3,-6.82333333333333,100
"164",3,12,"CS-US",1,5,1,-0.348708333333333,85
"165",3,13,"CS",1,4,4,0.795166666666663,22
"166",3,14,"CS-US",1,5,1,8.39666666666667,73
"167",3,15,"CS",1,4,4,4.53050000000001,100
"168",3,16,"CS-US",1,5,1,4.60983333333333,70
"169",3,17,"CS-US",2,6,2,13.2148333333333,14
"170",3,18,"CS-US",3,7,3,9.49616666666667,5
"171",3,19,"CS",1,4,4,3.11783333333333,87
"172",3,20,"CS-US",1,5,1,8.53041666666667,90
"173",3,21,"CS",1,4,4,-2.704875,62
"174",3,22,"CS",2,3,3,9.12879166666667,94
"175",3,23,"CS",3,2,2,9.91870833333333,100
"176",3,24,"CS",4,1,1,5.40095833333333,96
