"","id","trial","condition","count","cond_lag","count_lag","graph_order","pooled_order","hr","rating"
"116",3,92,"CS-US",2,"CS-US",1,5,1,5.90244444444444,79
"117",3,94,"CS-US",1,"CS",1,4,4,3.29461111111111,18
"118",3,98,"CS-US",1,"CS",3,2,2,0.132888888888882,86
"119",3,99,"CS-US",2,"CS-US",1,5,1,12.3421666666667,75
"120",3,100,"CS-US",3,"CS-US",2,6,2,4.30388888888889,77
"121",3,102,"CS-US",1,"CS",1,4,4,9.53122222222222,100
"122",3,103,"CS-US",2,"CS-US",1,5,1,8.49583333333333,62
"123",3,105,"CS-US",1,"CS",1,4,4,3.81711111111111,81
"124",3,106,"CS-US",2,"CS-US",1,5,1,-2.45738888888888,76
"125",3,110,"CS-US",1,"CS",3,2,2,-0.24688888888889,100
"126",3,112,"CS-US",1,"CS",1,4,4,4.65333333333333,30
"127",3,114,"CS-US",1,"CS",1,4,4,0.969222222222225,89
"128",3,116,"CS-US",1,"CS",1,4,4,-5.89877777777777,28
"129",3,117,"CS-US",2,"CS-US",1,5,1,-4.17655555555555,89
"130",3,119,"CS-US",1,"CS",1,4,4,7.64533333333333,100
"131",3,121,"CS-US",1,"CS",1,4,4,-0.736388888888893,32
"132",3,122,"CS-US",2,"CS-US",1,5,1,4.7825,80
"133",3,123,"CS-US",3,"CS-US",2,6,2,3.23661111111111,67
"134",3,125,"CS-US",1,"CS",1,4,4,4.71666666666667,69
"135",3,126,"CS-US",2,"CS-US",1,5,1,3.8055,100
"136",3,129,"CS-US",1,"CS",2,3,3,-5.29133333333333,8
"137",3,130,"CS-US",2,"CS-US",1,5,1,0.902666666666668,100
"138",3,131,"CS-US",3,"CS-US",2,6,2,-3.11383333333333,86
"139",3,133,"CS-US",1,"CS",1,4,4,5.77922222222223,13
"140",3,134,"CS-US",2,"CS-US",1,5,1,-10.3356111111111,40
"141",3,138,"CS-US",1,"CS",3,2,2,1.83016666666667,85
"142",3,140,"CS-US",1,"CS",1,4,4,1.15750000000001,81
"143",3,143,"CS-US",1,"CS",2,3,3,7.34511111111111,75
"144",3,147,"CS-US",1,"CS",3,2,2,10.3868888888889,25
"145",3,151,"CS-US",1,"CS",3,2,2,-4.11077777777777,92
"146",3,152,"CS-US",2,"CS-US",1,5,1,-8.69394444444445,81
"147",3,155,"CS-US",1,"CS",2,3,3,15.2353888888889,89
"148",3,156,"CS-US",2,"CS-US",1,5,1,8.34877777777778,100
"149",4,14,"CS-US",1,"CS",3,2,2,11.9129444444444,89
"150",4,15,"CS-US",2,"CS-US",1,5,1,18.2615,17
"151",4,17,"CS-US",1,"CS",1,4,4,3.46388888888889,15
"152",4,20,"CS-US",1,"CS",2,3,3,9.21788888888888,83
"153",4,24,"CS-US",1,"CS",3,2,2,-6.79705555555556,96
"154",4,25,"CS-US",2,"CS-US",1,5,1,5.74055555555556,16
"155",4,28,"CS-US",1,"CS",2,3,3,1.84116666666667,32
"156",4,29,"CS-US",2,"CS-US",1,5,1,1.5645,82
"157",4,31,"CS-US",1,"CS",1,4,4,1.97594444444445,21
"158",4,33,"CS-US",1,"CS",1,4,4,0.317277777777775,27
"159",4,35,"CS-US",1,"CS",1,4,4,6.37027777777778,29
"160",4,36,"CS-US",2,"CS-US",1,5,1,-17.5125,73
"161",4,39,"CS-US",1,"CS",2,3,3,4.33327777777778,79
"162",4,41,"CS-US",1,"CS",1,4,4,4.53972222222221,37
"163",4,43,"CS-US",1,"CS",1,4,4,-0.203277777777777,73
"164",4,44,"CS-US",2,"CS-US",1,5,1,-5.58077777777778,39
"165",4,46,"CS-US",1,"CS",1,4,4,-1.39505555555555,32
"166",4,47,"CS-US",2,"CS-US",1,5,1,-0.0735555555555515,76
"167",4,49,"CS-US",1,"CS",1,4,4,-2.23333333333333,73
"168",4,52,"CS-US",1,"CS",2,3,3,3.89249999999999,76
"169",4,54,"CS-US",1,"CS",1,4,4,-5.62005555555555,67
"170",4,56,"CS-US",1,"CS",1,4,4,9.00233333333333,40
"171",4,62,"CS-US",2,"CS-US",1,5,1,2.74427777777778,90
"172",4,64,"CS-US",1,"CS",1,4,4,-6.43538888888889,78
"173",4,65,"CS-US",2,"CS-US",1,5,1,-3.30472222222222,68
"174",4,66,"CS-US",3,"CS-US",2,6,2,-2.11811111111112,14
"175",4,68,"CS-US",1,"CS",1,4,4,-1.82722222222223,60
"176",4,69,"CS-US",2,"CS-US",1,5,1,-4.28322222222222,42
"177",4,70,"CS-US",3,"CS-US",2,6,2,-5.29566666666667,80
"178",4,71,"CS-US",4,"CS-US",3,7,3,7.65333333333333,34
"179",4,74,"CS-US",1,"CS",2,3,3,2.7015,68
"180",4,76,"CS-US",1,"CS",1,4,4,1.72038888888888,33
"181",4,80,"CS-US",1,"CS",3,2,2,-1.04238888888888,34
"182",4,81,"CS-US",2,"CS-US",1,5,1,-5.54127777777777,38
"183",4,82,"CS-US",3,"CS-US",2,6,2,-0.181944444444437,16
"184",4,83,"CS-US",4,"CS-US",3,7,3,-2.56977777777777,67
"185",4,87,"CS-US",1,"CS",3,2,2,-0.12433333333333,74
"186",4,88,"CS-US",2,"CS-US",1,5,1,7.32199999999999,14
"187",4,89,"CS-US",3,"CS-US",2,6,2,-2.49066666666666,33
"188",4,91,"CS-US",1,"CS",1,4,4,-13.01,31
"189",4,95,"CS-US",1,"CS",3,2,2,4.21083333333333,60
"190",4,96,"CS-US",2,"CS-US",1,5,1,-9.03666666666665,26
"191",4,99,"CS-US",1,"CS",2,3,3,10.7135555555556,32
"192",4,100,"CS-US",2,"CS-US",1,5,1,3.92944444444445,31
"193",4,102,"CS-US",1,"CS",1,4,4,-10.8465555555556,57
"194",4,105,"CS-US",1,"CS",2,3,3,-4.39022222222223,82
"195",4,106,"CS-US",2,"CS-US",1,5,1,1.3183888888889,90
"196",4,107,"CS-US",3,"CS-US",2,6,2,3.87266666666668,26
"197",4,109,"CS-US",1,"CS",1,4,4,-6.70349999999999,78
"198",4,113,"CS-US",1,"CS",3,2,2,-3.52238888888889,63
"199",4,115,"CS-US",1,"CS",1,4,4,1.19483333333333,37
"200",4,116,"CS-US",2,"CS-US",1,5,1,-5.63888888888889,13
